source,author,title,description,url,urlToImage,publishedAt
b'Lesoir.be',"b'""""'",b'Tunisie: faible participation aux premieres municipales libres',"b'Le taux de participation n\xe2\x80\x99a atteint que 33,7\xc2\xa0% au niveau national, et seulement 26\xc2\xa0% a Tunis.'",b'http://www.lesoir.be/155285/article/2018-05-07/tunisie-faible-participation-aux-premieres-municipales-libres',b'http://www.lesoir.be/sites/default/files/dpistyles_v2/ena_16_9_extra_big/2018/05/07/node_155285/20431126/public/2018/05/07/B9715628028Z.1_20180507063325_000+GLNB84G87.2-0.jpg?itok=a4m1-EZ6',b'2018-05-07T04:33:25Z'
b'Ledevoir.com',b'webmestre@ledevoir.com (Agence France-Presse)',b'Premieres elections municipales libres en Tunisie',"b'Tunis \xe2\x80\x94 Cinq millions de Tunisiens s\xe2\x80\x99appretent a elire dimanche les conseils municipaux du pays,...'",b'https://www.ledevoir.com/monde/afrique/527041/premieres-elections-municipales-libres-en-tunisie',b'//www.ledevoir.com/images/ul/graphiques/logo_devoir_facebook.gif?20131118',b'2018-05-05T02:03:23Z'
b'Lefigaro.fr',b'Le Figaro.fr avec AFP',b'Tunis: le parti islamiste en tete des elections municipales',"b""Le parti islamiste Ennahdha est arrive en tete a Tunis a l'issue des premieres municipales democratiques du pays, sans pour autant disposer de la majorite absolue requise pour l'election du maire, sel...""",b'http://www.lefigaro.fr/flash-actu/2018/05/09/97001-20180509FILWWW00324-tunis-le-parti-islamiste-en-tete-des-elections-municipales.php',b'None',b'2018-05-09T20:02:33Z'
b'Lepoint.fr',b'Le Point.fr',b'Municipales/Tunisie: Ennahdha en tete mais sans majorite a Tunis',"b""Le parti islamiste Ennahdha est arrive en tete a Tunis a l'issue des premieres municipales democratiques du pays, un resultat qui ne lui garantit...""",b'http://www.lepoint.fr/monde/municipales-tunisie-ennahdha-en-tete-mais-sans-majorite-a-tunis-09-05-2018-2217265_24.php',b'http://www.lepoint.fr/images/2018/05/09/14808554lpw-14808550-article-jpg_5229638.jpg',b'2018-05-09T21:11:00Z'
b'Allafrica.com',b'',"b'Tunisie:Municipales 2018 - ""Le faible taux de participation au scrutin municipal est un message fort dont il faut en tirer les lecons"", souligne Youssef Chahed'","b' Tunis -\xc2\xab Le taux de participation aux elections municipales est beaucoup plus faible que les taux enregistres au cours des precedentes echeances electorales post-revolution \xc2\xbb, a declare ce dimanche, jour du scrutin municipal, le chef du\xe2\x80\xa6'",b'http://fr.allafrica.com/stories/201805070408.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-05-07T09:39:35Z'
b'Allafrica.com',b'',"b""Tunisie:Municipales 2018 - Taux de participation de 4,5 pc jusqu'a 10h00 (ISIE)""","b"" Tunis -Jusqu'a dix heures, le taux de participation aux elections municipales a atteint 4,5 pc, a indique l'Instance superieure independante pour les elections. Environ 240 mille et 253 electeurs ont donne leur voix a travers les differ\xe2\x80\xa6""",b'http://fr.allafrica.com/stories/201805070271.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-05-07T08:47:02Z'
b'Jeuneafrique.com',b'Frida Dahmani',"b""Tunisie : ce que l'on sait du futur aeroport international de Bizerte""","b""Parmi les mega-projets de la Tunisie, la construction d'un nouvel aeroport international pouvant desservir Tunis a ete regulierement evoquee depuis 2012. L'appel d'offres pour l'etude du projet sera lance dans les prochains mois, pour une livraison prevue en \xe2\x80\xa6""",b'http://www.jeuneafrique.com/539993/economie/tunisie-ce-que-lon-sait-du-futur-aeroport-international-de-bizerte/',b'http://www.jeuneafrique.com/medias/2015/07/22/tunis-aeroport-640x320-1520435083.jpg',b'2018-03-07T14:53:37Z'
b'Allafrica.com',b'',b'Tunisie:Mahdia-Municipales 2018 - Decompte des voix dans toutes les municipalites',"b"" Mahdia -L'operation de depouillement des voix dans toutes les municipalites au gouvernorat de Mahdia a ete parachevee.""",b'http://fr.allafrica.com/stories/201805090301.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-05-09T08:39:53Z'
b'Allafrica.com',b'',b'Afrique:Liberte de la presse - La Tunisie preserve son rang',"b""[La Presse] Lors d'une conference de presse organisee hier a Tunis, Virginie Dangles, redactrice en chef de RSF, a souligne que la Tunisie reste un modele ou la liberte de la presse est relativement satisfaisante.""",b'http://fr.allafrica.com/stories/201804260734.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-04-26T12:21:43Z'
b'Allafrica.com',b'',b'Tunisie:Hommage et reconnaissance aux plumes du savoir',"b""[La Presse] Tel qu'annonce par les organisateurs lors de la conference de presse, les prix de la Foire internationale du livre de Tunis ont ete decernes lors de la ceremonie d'ouverture.""",b'http://fr.allafrica.com/stories/201804080156.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-04-08T19:53:09Z'
b'Sofoot.com',b'SO FOOT',"b""Club Africain : Marchand s'en va deja""","b""Le Club Africain est un grand consommateur d'entraineurs, et il vient de le prouver une nouvelle fois. Bertrand Marchand, l'ancien coach de Guingamp et Rennes, revenu a Tunis en\xe2\x80\xa6""",b'http://www.sofoot.com/club-africain-marchand-s-en-va-deja-454637.html',b'http://www.sofoot.com/IMG/img-club-africain-marchand-s-en-va-deja-1524006646_x600_articles-454637.jpg',b'2018-04-17T22:06:00Z'
b'Allafrica.com',b'',"b""Tunisie:FIFOG 2018 - Tahar Houchi fait le bilan d'un Festival du film Oriental fonde il y a 13 ans a Geneve""","b' Geneve/Tunisie -Initialement journaliste puis realisateur mais aussi acteur, Tahar Houchi est le fondateur et directeur artistique du Festival international du Film Oriental de Geneve (FIFOG), un jeune festival qui fete deja ses 13 ans \xe2\x80\xa6'",b'http://fr.allafrica.com/stories/201804300213.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-04-30T08:32:01Z'
b'Lexpress.fr',b'None',b'Premieres elections municipales libres dimanche en Tunisie',"b""Tunis - Cinq millions de Tunisiens s'appretent a elire dimanche les conseils municipaux du pays, lors du premier scrutin local libre, attendu de longue date pour enraciner la democratie dans le seul pays rescape du Printemps arabe.""",b'https://www.lexpress.fr/actualites/1/monde/premieres-elections-municipales-libres-dimanche-en-tunisie_2005872.html',"b'https://static.lexpress.fr/medias_11824/w_605,h_350,c_fill,g_north/v1525422311/un-policier-tunisien-vote-pour-les-elections-municipales-dans-un-bureau-de-vote-de-tunis-le-29-avril-2018_6054274.jpg'",b'2018-05-04T08:24:07Z'
b'Allafrica.com',b'',b'Tunisie:1.060 dossiers de corruption soumis a la justice',"b""[La Presse] S'exprimant a Tunis lors d'une conference de presse, Selliti a precise que 339 affaires ont ete deja cloturees, faisant etat de l'arrestation de 38 individus pour des suspicions de corruption, de blanchiment de capitaux et de crimes douaniers.""",b'http://fr.allafrica.com/stories/201805040313.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-05-04T08:47:16Z'
b'Allafrica.com',b'',"b""Tunisie:Monastir - Deux morts et 65 blessees dans l'accident d'un autobus transportant des ouvrieres a Sidi Bennour [Upd 1]""","b"" Monastir -Un grave accident s'est produit, samedi vers 6h30 du matin, au niveau de la route principale a Sidi Bennour (gouvernorat de Monastir), entre deux autobus de transport d'ouvrieres, faisant deux morts et 65 blessees.""",b'http://fr.allafrica.com/stories/201804080010.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-04-08T10:39:35Z'
b'Allafrica.com',b'',b'Tunisie:Sidi Bouzid/Municipales 2018 - Fiche technique',"b"" Sidi Bouzid -Le gouvernorat de Sidi Bouzid, situe au centre de la Tunisie, s'etend sur 6994 km2. Il compte 17 municipalites dont six nouvellement creees (Essaida, Fayedh Bannour, Lassouda, Baten Leghzal, Mansoura et Rahal).""",b'http://fr.allafrica.com/stories/201804210469.html',b'http://allafrica.com/static/images/structure/aa-logo-rgba-no-text-128x128.png',b'2018-04-21T17:35:25Z'
b'Lexpress.fr',b'None',"b'Pour la premiere fois en Tunisie, des policiers et militaires votent'","b""Tunis - Pour la premiere fois dans l'histoire de la Tunisie, des policiers et militaires peuvent se rendre dimanche dans un bureau de vote pour mettre leur bulletin dans l'urne, a l'occasion du premier scrutin municipal depuis la revolution de 2011.""",b'https://www.lexpress.fr/actualites/1/monde/pour-la-premiere-fois-en-tunisie-des-policiers-et-militaires-votent_2004517.html',"b'https://static.lexpress.fr/medias_11820/w_605,h_350,c_fill,g_north/v1524995651/un-policier-tunisien-en-habits-civils-vote-pour-l-election-municipale-dans-un-bureau-de-tunis-le-29-avril-2018-pour-la-premiere-fois-dans-l-histoire-de-la-tunisie-les-policiers-et-militaires-sont-autorises-a-voter_6052324.jpg'",b'2018-04-29T09:53:26Z'
